Code	Value	Step
0	0	1
1	1	1
2	2	1
3	3	1
4	4	1
5	5	1
6	6	1
7	7	1
8	8	1
9	9	1
10	10	1
11	12	2
12	14	2
13	16	2
14	18	2
15	20	2
16	22	2
17	24	2
18	26	2
19	28	2
20	30	2
21	35	5
22	40	5
23	45	5
24	50	5
25	55	5
26	60	5
27	65	5
28	70	5
29	75	5
30	80	5
31	85	5
32	90	5
33	95	5
34	100	5
35	105	5
36	110	5
37	115	5
38	120	5
39	125	5
40	130	5
41	135	5
42	140	5
43	145	5
44	150	5
45	155	5
46	160	5
47	165	5
48	170	5
49	175	5
50	180	5
51	185	5
52	190	5
53	195	5
54	200	5
55	210	10
56	220	10
57	230	10
58	240	10
59	250	10
60	260	10
61	270	10
62	280	10
63	290	10
64	300	10
65	310	10
66	320	10
67	330	10
68	340	10
69	350	10
70	360	10
71	370	10
72	380	10
73	390	10
74	400	10
75	420	20
76	440	20
77	460	20
78	480	20
79	500	20
80	520	20
81	540	20
82	560	20
83	580	20
84	600	20
85	620	20
86	640	20
87	660	20
88	680	20
89	700	20
90	720	20
91	740	20
92	760	20
93	780	20
94	800	20
95	840	40
96	880	40
97	920	40
98	960	40
99	1000	40
100	1040	40
101	1080	40
102	1120	40
103	1160	40
104	1200	40
105	1240	40
106	1280	40
107	1320	40
108	1360	40
109	1400	40
110	1440	40
111	1480	40
112	1520	40
113	1560	40
114	1600	40
115	1680	80
116	1760	80
117	1840	80
118	1920	80
119	2000	80
120	2080	80
121	2160	80
122	2240	80
123	2320	80
124	2400	80
125	2480	80
126	2560	80
127	2640	80
128	2720	80
129	2800	80
130	2880	80
131	2960	80
132	3040	80
133	3120	80
134	3200	80
135	3360	160
136	3520	160
137	3680	160
138	3840	160
139	4000	160
140	4160	160
141	4320	160
142	4480	160
143	4640	160
144	4800	160
145	4960	160
146	5120	160
147	5280	160
148	5440	160
149	5600	160
150	5760	160
151	5920	160
152	6080	160
153	6240	160
154	6400	160
155	6720	320
156	7040	320
157	7360	320
158	7680	320
159	8000	320
160	8320	320
161	8640	320
162	8960	320
163	9280	320
164	9600	320
165	9920	320
166	10240	320
167	10560	320
168	10880	320
169	11200	320
170	11520	320
171	11840	320
172	12160	320
173	12480	320
174	12800	320
175	13440	640
176	14080	640
177	14720	640
178	15360	640
179	16000	640
180	16640	640
181	17280	640
182	17920	640
183	18560	640
184	19200	640
185	19840	640
186	20480	640
187	21120	640
188	21760	640
189	22400	640
190	23040	640
191	23680	640
192	24320	640
193	24960	640
194	25600	640
195	26880	1280
196	28160	1280
197	29440	1280
198	30720	1280
199	32000	1280
200	33280	1280
201	34560	1280
202	35840	1280
203	37120	1280
204	38400	1280
205	39680	1280
206	40960	1280
207	42240	1280
208	43520	1280
209	44800	1280
210	46080	1280
211	47360	1280
212	48640	1280
213	49920	1280
214	51200	1280
215	53760	2560
216	56320	2560
217	58880	2560
218	61440	2560
219	64000	2560
220	66560	2560
221	69120	2560
222	71680	2560
223	74240	2560
224	76800	2560
225	79360	2560
226	81920	2560
227	84480	2560
228	87040	2560
229	89600	2560
230	92160	2560
231	94720	2560
232	97280	2560
233	99840	2560
234	102400	2560
235	107520	5120
236	112640	5120
237	117760	5120
238	122880	5120
239	128000	5120
240	133120	5120
241	138240	5120
242	143360	5120
243	148480	5120
244	153600	5120
245	158720	5120
246	163840	5120
247	168960	5120
248	174080	5120
249	179200	5120
250	184320	5120
251	189440	5120
252	194560	5120
253	199680	5120
254	Overflow	
255	Anomaly	
